RoleDisplayName,Permission,RoleType
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/read,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/update,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/policyAppliedTo/read,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/standard/read,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/tenantDefault/update,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/create,Built-in
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/delete,Built-in
Azure AD Joined Device Local Administrator,microsoft.directory/groupSettings/standard/read,Built-in
Azure AD Joined Device Local Administrator,microsoft.directory/groupSettingTemplates/standard/read,Built-in
Azure DevOps Administrator,microsoft.azure.devOps/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.azure.informationProtection/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.directory/authorizationPolicy/standard/read,Built-in
Azure Information Protection Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Azure Information Protection Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
B2C IEF Keyset Administrator,microsoft.directory/b2cTrustFrameworkKeySet/allProperties/allTasks,Built-in
B2C IEF Policy Administrator,microsoft.directory/b2cTrustFrameworkPolicy/allProperties/allTasks,Built-in
Billing Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Billing Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Billing Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks,Built-in
Billing Administrator,microsoft.directory/organization/basic/update,Built-in
Billing Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Billing Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Billing Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Cloud App Security Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,Built-in
Cloud App Security Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Cloud Application Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Cloud Application Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Cloud Application Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,Built-in
Cloud Application Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/basic/update,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/create,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/delete,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/owners/read,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/owners/update,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/policyAppliedTo/read,Built-in
Cloud Application Administrator,microsoft.directory/applicationPolicies/standard/read,Built-in
Cloud Application Administrator,microsoft.directory/applications/appRoles/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/audience/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/authentication/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/basic/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/create,Built-in
Cloud Application Administrator,microsoft.directory/applications/credentials/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/delete,Built-in
Cloud Application Administrator,microsoft.directory/applications/disablement/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/extensionProperties/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/notes/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/owners/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/permissions/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/policies/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/synchronization/standard/read,Built-in
Cloud Application Administrator,microsoft.directory/applications/tag/update,Built-in
Cloud Application Administrator,microsoft.directory/applications/verification/update,Built-in
Cloud Application Administrator,microsoft.directory/applicationTemplates/instantiate,Built-in
Cloud Application Administrator,microsoft.directory/auditLogs/allProperties/read,Built-in
Cloud Application Administrator,microsoft.directory/deletedItems.applications/delete,Built-in
Cloud Application Administrator,microsoft.directory/deletedItems.applications/restore,Built-in
Cloud Application Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,Built-in
